ID,Classifier,Ranker,AttributesNum,Attributes,FPR_type1err,FNR_type2err,ROC_Area
6,NaiveBayes,GainRatio,10,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X,0.139,0.304,0.854
47,NaiveBayes,InformationGain,20,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X,0.125,0.13,0.902
59,NaiveBayes,ChiSquared,100,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X;GENE3968X;GENE3932X;GENE2936X;GENE3461X;GENE3940X;GENE3574X;GENE1741X;GENE3642X;GENE3944X;GENE2033X;GENE2105X;GENE1672X;GENE1296X;GENE3755X;GENE3754X;GENE1612X;GENE520X;GENE2380X;GENE1673X;GENE3898X;GENE1617X;GENE2759X;GENE2550X;GENE473X;GENE1776X;GENE2464X;GENE3259X;GENE2758X;GENE598X;GENE2113X;GENE513X;GENE2713X;GENE597X;GENE374X;GENE1620X;GENE1658X;GENE2512X;GENE1659X;GENE1821X;GENE1622X;GENE528X;GENE1616X;GENE1618X;GENE386X;GENE1696X;GENE3967X;GENE982X;GENE3753X;GENE1125X;GENE514X;GENE1214X;GENE2460X;GENE662X;GENE639X;GENE373X;GENE187X;GENE3176X;GENE512X;GENE1812X;GENE500X;GENE1695X;GENE1647X;GENE1614X;GENE3573X;GENE1619X;GENE1648X;GENE1768X;GENE556X;GENE1613X;GENE832X;GENE221X;GENE3934X;GENE1813X;GENE1080X;GENE3628X;GENE593X;GENE981X;GENE364X;GENE1573X;GENE1637X,0.139,0.174,0.928
56,NaiveBayes,ChiSquared,10,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X,0.139,0.13,0.912
43,NaiveBayes,InformationGain,7,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X,0.125,0.348,0.841
55,NaiveBayes,ChiSquared,9,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X,0.167,0.13,0.912
70,5NN,GainRatio,100,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X;GENE1126X;GENE86X;GENE946X;GENE1609X;GENE2595X;GENE385X;GENE1537X;GENE940X;GENE3898X;GENE1080X;GENE384X;GENE493X;GENE520X;GENE3751X;GENE3752X;GENE3945X;GENE3586X;GENE3258X;GENE1666X;GENE2760X;GENE1676X;GENE3946X;GENE941X;GENE1490X;GENE597X;GENE374X;GENE1131X;GENE1798X;GENE1610X;GENE1618X;GENE639X;GENE3574X;GENE1964X;GENE3939X;GENE3573X;GENE3932X;GENE593X;GENE1776X;GENE2380X;GENE3461X;GENE1673X;GENE3943X;GENE1741X;GENE3968X;GENE1296X;GENE635X;GENE472X;GENE378X;GENE379X;GENE364X;GENE473X;GENE3940X;GENE3628X;GENE390X;GENE2190X;GENE567X;GENE568X;GENE610X;GENE1672X;GENE598X;GENE513X;GENE2105X;GENE1656X;GENE2186X;GENE2758X;GENE1622X;GENE1612X;GENE2759X;GENE636X;GENE455X;GENE1214X;GENE514X;GENE1658X;GENE512X;GENE500X;GENE2464X;GENE2740X;GENE2739X;GENE2113X;GENE717X;GENE2238X;GENE3642X;GENE1130X;GENE386X;GENE1617X;GENE2512X;GENE626X;GENE569X;GENE2550X;GENE3986X,0.069,0.304,0.887
15,NaiveBayes,SymmetricUncertainty,9,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X,0.167,0.174,0.908
57,NaiveBayes,ChiSquared,20,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X,0.097,0.261,0.937
66,5NN,GainRatio,9,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X,0.056,0.739,0.776
